Company,Contact Name,Title,Department,Direct Phone,Mobile Phone,Corporate Phone,Email,City,State,PostalCode,LastVerifiedDate,ConfidenceScore
,,,,,,,,,LIBERTY UTILITIES		1766 CLEVELAND HWY	GAINESVILLE	GA	30501	678-707-5217				2213	Water,,,
No Company Match,,,,,,,,,LIFT ONE LLC AUGUSTA		679 INDUSTRIAL PARK RD	EVANS	GA	30809	706-650-9500				4238	Machinery,,,
No Company Match,,,,,,,,,LIFTONE CTE MLA		3425 DUG GAP RD	DALTON	GA	30720	706-259-4895				4238	Machinery,,,
,,,,,,,,,LIFTONE-MLA		246 Old Jackson Hwy	Beech Island	SC	29842	706-755-7035						Yes	No	No	Jason Lynn	219,,,
,,,,,,,,,Lincoln Industries		67 5th St NE	Pine Island	MN	55963	507-356-8322				3315	Foundries	Yes	No	No	Timothy Litwin	754,,,
,,,,,,,,,LINDE		2747 S HUTCHINSON AVE	ADEL	GA	31620	404-583-9169						Yes	No	No	Tim Long	438,,,
No Company Match,,,,,,,,,Links Auto Service		6771 Main St	North Branch	MN	55056	651-674-5444		1 to 4	2,,,
No Company Match,,,,,,,,,Litchfield Machine Works	FRC	63185 Us Highway 12	Litchfield	MN	55355	320-693-3312		10 to 19	20,,,
,,,,,,,,,LITTFIN LUMBER CO		10360 US HWY 12 SW	HOWARD LAKE	MN	55349	320-485-3861						Yes	No	No	Peter Andrews	470,,,
,,,,,,,,,LKQ		1510 Highway 29 North	ATHENS	GA	30601	(706) 548-8888				4231	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Yes	No	No	Brett Johns	258,,,
Accessories,,,,,,,,,Lkq Corp		26548 Chippendale Ave	Northfield	MN	55057	312-621-2793		5 to 9	5,,,
,,,,,,,,,Lock Joint Tube		600 River Terminal Rd	Chattanooga	TN	37406	423-697-7051		50 to 99	100,,,
,,,,,,,,,LOUISIANA PACIFIC-ELECTRI	KAM	16571 HWY 63	HAYWARD	WI	54843					4441	Building Material and Supplies Dealers	Yes	No	No	Charles Madden	0045M,,,
,,,,,,,,,LOUISIANA PACIFIC-TWO HAR	KAM	711 25TH AVE	TWO HARBORS	MN	55616					4441	Building Material and Supplies Dealers	Yes	No	No	Bradley Beranek	0045M,,,
,,,,,,,,,Lsc Communications	FRC	7401 Kilmer Ln N	Maple Grove	MN	55369	763-315-8100		500 to 999	100,,,
,,,,,,,,,LUND FOOD HOLDINGS INC.	KAM	7752 MITCHELL RD	EDEN PRAIRIE	MN	55344					3399	Other Miscellaneous Manufacturing	Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,Luther Brookdale Toyota		6700 Brooklyn Blvd	Minneapolis	MN	55429	763-331-6700		100 to 249	100,,,
,,,,,,,,,LZB Mfg Inc		La Z Boy	Dayton	TN	37321	423-452-2002				3371	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	Yes	No	No	Banton Price	475,,,
No Company Match,,,,,,,,,M & W Heating & Air		8239 Eisenhower Pkwy	Lizella	GA	31052	478-935-3190		5 to 9	1,,,
No Company Match,,,,,,,,,M&L Custom Works Inc		41565 Co Rd 152	Albany	MN	56307	320-845-4111		1 to 4	1,,,
No Company Match,,,,,,,,,MACDERMID ENTHONE	FRC	5630 PIONEER CREEK DR	MAPLE PLAIN	MN	55359	763-479-2008		5 to 9	1,,,
,,,,,,,,,MACHINE TOOL CAMP LLC		128 W RIVER ST	CHIPPEWA FALLS	WI	54729	715-797-4507				3335	Metalworking Machinery Manufacturing	Yes	No	No	Tyler Lee	0016K,,,
No Company Match,,,,,,,,,Macqueen Equipment Inc	KAM	1125 7th St E	St Paul	MN	55106	651-645-5726			1,,,
,,,,,,,,,MANNINGTON/SHOES ONLY/MAD		1421 AMTICO RD	MADISON	GA	30650	706-342-4413						Yes	No	No	Heather Forbes	201,,,
,,,,,,,,,MANUFACTURERS CHEMICALS L		PO BOX 2788	CLEVELAND	TN	37320	423-476-6666						Yes	No	Yes	Scarlet Perez	475,,,
No Company Match,,,,,,,,,Manufacturing Foss		4977 Highway 76	Chatsworth	GA	30705	706-422-8045		5 to 9	20,,,
,,,,,,,,,MAPLE ISLAND		219 MAIN STREET	WANAMINGO	MN	55983	507-824-2224				3115	Dairy Product Manufacturing	Yes	No	No	Timothy Litwin	754,,,
and Other General Government Support	Yes	No	No	Christian Karalunas	0021M,,,,,,,,,Maplewood City Clerk	MAM	1830 County Road B E	Maplewood	MN	55109	651-249-2340		20 to 49	100,,,
,,,,,,,,,Marshall Concrete Products Inc		2610 Marshall St Ne	Minneapolis	MN	55418	612-789-4303		50 to 99	100,,,
,,,,,,,,,Martin Marietta		1359 Red Rock Rd	St Paul	MN	55119	7633156043						Yes	No	No	Christian Karalunas	0021M,,,
Scientific,,,,,,,,,Martin Marietta		245 Rockwood Rd	Tyrone	GA	30290	770-632-5793		1 to 4	2,,,
No Company Match,,,,,,,,,Martin Marietta		575 Marble Dr	Oxford	GA	30054	678-342-6694		5 to 9	5,,,
,,,,,,,,,Martin Marietta		384 Hwy 51 south	HOMER	GA	30547	(770) 560-0827						Yes	No	No	Michael Joseph	258,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates		3785 Cave Spring Rd Sw	Rome	GA	30161	706-235-6041		5 to 9	10,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates	FRC	137 Pitts Chapel Rd	Macon	GA	31217	478-986-5261		20 to 49	40,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates	FRC	5607 Columbia Rd	Grovetown	GA	30813	706-854-8991		10 to 19	20,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates		301 Parks Mill Rd	Auburn	GA	30011	770-963-6123		20 to 49	40,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates	FRC	1466 Quaker Rd	Warrenton	GA	30828	706-465-2522		20 to 49	40,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates		3098 Superior Rd	Augusta	GA	30907	706-210-0962		20 to 49	2,,,
No Company Match,,,,,,,,,Martin Marietta Aggregates		1450 Division St	Waite Park	MN	56387	320-251-7141		20 to 49	40,,,
,,,,,,,,,Masonite		508 E. Grant St.	Thorp	WI	54771	715-669-3291				4441	Building Material and Supplies Dealers	Yes	No	No	Tyler Lee	0016K,,,
No Company Match,,,,,,,,,Masonite		2441 15th St N	Wahpeton	ND	58075	701-642-1152		50 to 99	40,,,
No Company Match,,,,,,,,,Master Buick Gmc		3710 Washington Rd	Augusta	GA	30907	706-250-8771		50 to 99	20,,,
,,,,,,,,,Matheson	FRC	1501 Highway 12 E	Willmar	MN	56201	320-235-3430		20 to 49	100,,,
,,,,,,,,,MATHESON TRI GAS	KAM	4531 N ACCESS RD BLDG 4	CHATTANOOGA	TN	37415	972-560-5688				4247	Petroleum and Petroleum Products Merchant Wholesalers	Yes	No	No	Banton Price	475,,,
No Company Match,,,,,,,,,Mativ	CMAM	760 29th Ave #770	Minneapolis	MN	55414	612-331-1752		10 to 19	20,,,
No Company Match,,,,,,,,,Matthews Garage		18 Pinson Dr	Cartersville	GA	30120	770-382-0900		20 to 49	10,,,
Tank,,,,,,,,,Mauser container	FRC	990 Spiral Blvd	Hastings	MN	55033	651-480-3786		20 to 49	40,,,
Tank,,,,,,,,,Mauser Large Packaging	FRC	3710 Atlanta Industrial Pkwy N	Atlanta	GA	30331	: (844) 888-4227		20 to 49	20,,,
,,,,,,,,,Mauser Packaging		109 27th Ave NE	Minneapolis	MN	55418	(612) 781-0923						Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,MBI		1300 Old Columbus Rd	Opelika	AL	36804	334-705-4999						Yes	No	No	Matthew Sprouse	256,,,
Legislative,,,,,,,,,Mc Cormick Commission Public		912 S Main St	Mc Cormick	SC	29835	864-852-2485		20 to 49	40,,,
Legislative,,,,,,,,,Mc Cormick County Public Works		123 Cecil Wall Cir	Mc Cormick	SC	29835	864-852-2118		10 to 19	10,,,
No Company Match,,,,,,,,,Mc Whorter Logging		5056 Double Branches Rd	Lincolnton	GA	30817	706-359-6105		5 to 9	2,,,
,,,,,,,,,MCCORMICK & MCCORMICK INC		N4414 EAST RD	KENNAN	WI	54537	715-474-3355						Yes	No	No	Tyler Lee	0016K,,,
,,,,,,,,,MCLEOD COUNTY HIGHWAY DEPT		1400 HIGHWAY 22 S	HUTCHINSON	MN	55350							Yes	No	No	Jacob Carlson	0032K,,,
,,,,,,,,,MCPHERSON COMPANIES		1061 W MARIETTA ST NW	ATLANTA	GA	30318	404-766-5081						Yes	Yes	No	Ryan Burns	0037K,,,
,,,,,,,,,MECHANICAL CONTRACTORS		12115 LYNN AVE S	SAVAGE	MN	55378	952-440-9751						Yes	No	No	Marla Bailey	754,,,
,,,,,,,,,Mellow Mushroom - Cold Storage Warehouse		150 Great Southwest Pkwy	Atlanta	GA	30336	404-505-2806				7225	Restaurants and Other Eating Places	Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Menasha	FRC	8085 220th st w.	LAKEVILLE	MN	55044	(952) 469-4451				5619	Other Support Services	Yes	No	No	Isaac Hennen	754,,,
,,,,,,,,,MENOMONIE DISPOSAL SERVIC		1706 MIDWAY RD	MENOMONIE	WI	54751	715-231-9725				5621	Waste Collection	Yes	No	Yes	Tyler Lee	0016K,,,
000+	6221	General Medical and Surgical Hospitals	Yes	No	No	Peter Andrews	470,,,,,,,,,Mercy Hospital	MAM; FRC	4050 Coon Rapids Blvd Nw	Coon Rapids	MN	55433	763-236-6000		1,,,
,,,,,,,,,Mercy Hospital - Unity Campus	MAM	550 Osborne Rd Ne	Fridley	MN	55432	763-236-5000		500 to 999	100,,,
No Company Match,,,,,,,,,Merts Inc		500 Oakland Ct	Leesburg	GA	31763	229-435-3315		20 to 49	10,,,
,,,,,,,,,MESSER	KAM	3510 SAINT ELMO AVE	CHATTANOOGA	TN	37409					8111	Automotive Repair and Maintenance	Yes	No	No	Banton Price	475,,,
No Company Match,,,,,,,,,Metal Specialists Of Augusta	FRC	510 Skyview Dr	Augusta	GA	30901	706-724-8840		20 to 49	10,,,
Nut,,,,,,,,,Metalcrafters Of Stacy		30393 Stacy Ponds Dr	Stacy	MN	55079	651-462-6022		10 to 19	5,,,
,,,,,,,,,Metal-Matic Inc	KAM; CMAM	629 2nd St Se	Minneapolis	MN	55414	612-378-0411		250 to 499	100,,,
,,,,,,,,,Metro Mech Contractors		Flint Hls C/o	Rosemount	MN	55068	651-438-1338						Yes	No	No	Timothy Litwin	754,,,
,,,,,,,,,Metromont Corp	KAM	200 Metromont Rd	Hiram	GA	30141	770-943-8688		250 to 499	100,,,
,,,,,,,,,MGX Equipment		3280 Charleston Hwy	Aiken	SC	29801	(205) 757-3666						Yes	No	No	Jason Lynn	219,,,
,,,,,,,,,Microsoft Data Center		1601 North River Road	Lithia Springs	GA	30122	(770) 841-2392						Yes	No	No	Taylor Piatt	0037K,,,
Street,,,,,,,,,Midsouth Aggregates	FRC	75 Gheesling Rd	Warrenton	GA	30828	706-465-9565		10 to 19	5,,,
,,,,,,,,,MIDSOUTH PAVING		3561 PEACHTREE PKWY	SUWANEE	GA	30024					2123	Nonmetallic Mineral Mining and Quarrying	Yes	No	No	Michael Joseph	258,,,
Street,,,,,,,,,Midsouth Paving Inc		67 Lovinggood Rd	Ringgold	GA	30736	706-965-8325		10 to 19	5,,,
Street,,,,,,,,,Midwest Contracting Llc		2948 271st Ave	Marshall	MN	56258	507-537-1004		50 to 99	40,,,
,,,,,,,,,MI-JACK ATLANTA	KAM	1600 MARIETTA RD NW	ATLANTA	GA	30318	901-334-6900						Yes	No	No	Ryan Burns	0037K,,,
No Company Match,,,,,,,,,Mike Floyd Paving		2182 Dothan Rd	Bainbridge	GA	39817	229-243-2438		10 to 19	5,,,
,,,,,,,,,Milliken & Co	KAM	1300 4th Ave	Lagrange	GA	30240	706-880-5661		100 to 249	100,,,
,,,,,,,,,Mills Products Inc	FRC	2530 Northridge Dr	Athens	TN	37303	423-745-9090		50 to 99	100,,,
,,,,,,,,,MINNEAPOLIS WATER DIST		935 5TH AVE SE	MINNEAPOLIS	MN	55414	612-673-5600						Yes	No	No	Robert Beerling	0021M,,,
,,,,,,,,,Minnesota Diversified Indstrs		11270 Highway 37	Hibbing	MN	55746	651-999-8200		50 to 99	100,,,
,,,,,,,,,MINNESOTA SPECIALTY YEAST LLC		35 ADAMS ST NE	HUTCHINSON	MN	55350					3119	Other Food Manufacturing	Yes	No	No	Jacob Carlson	0032K,,,
,,,,,,,,,MISSING CUST / SEE SOURCE		5925 148TH ST W	APPLE VALLEY	MN	55124					8114	Personal and Household Goods Repair and Maintenance	Yes	No	Yes	Timothy Litwin	754,,,
,,,,,,,,,Mistras Group		PRIMARY_ADDRESS_1	Rosemount	MN	55068	310-793-7173						Yes	No	No	Timothy Litwin	754,,,
Supercenters,,,,,,,,,Mitchell Metals Llc		1761 Mccoba Dr Se # A	Smyrna	GA	30080	770-431-7300		20 to 49	20,,,
,,,,,,,,,MJ Electric		3645 Kennebec Dr	Saint Paul	MN	55121	(906) 282-3783						Yes	No	No	Timothy Litwin	754,,,
,,,,,,,,,Mjc Inc		415 Grassdale Rd	Cartersville	GA	30121	678-383-6652		20 to 49	1 - 1,,,
No Company Match,,,,,,,,,MN DEPT OF TRANS-CROOKSTON		1320 SUNFLOWER STREET	CROOKSTON	MN	56716	218-281-6044				2373	Highway,,,
,,,,,,,,,MN DOT		3601 7TH AVE	ANOKA	MN	55303	651-582-1240						Yes	No	No	Peter Andrews	470,,,
,,,,,,,,,MN DOT		22010 EVERTON AVE N	FOREST LAKE	MN	55025							Yes	No	No	Briana Miller	0021M,,,
,,,,,,,,,MN DOT		4725 CHASKA BLVD	CHASKA	MN	55318	651-582-1240						Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,MN DOT MAPLE GROVE		9501 HEMLOCK LN	MAPLE GROVE	MN	55369	651-582-1240						Yes	No	No	Peter Andrews	470,,,
,,,,,,,,,MN DOT PLYMOUTH		2315 FERNBROOK AVE N	PLYMOUTH	MN	55441	651-582-1240						Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,MN DOT-Carlton Truck Station		1515 Hwy 210	Carlton	MN	55718	(218) 384-4204						Yes	No	No	Charles Madden	0045M,,,
,,,,,,,,,MNDOT		3485 Hadley Ave N	SAINT PAUL	MN	55128	(651) 366-4353						Yes	No	No	Christian Karalunas	0021M,,,
,,,,,,,,,MNDOT		22010 Everton Ave N	FOREST LAKE	MN	55025	(651) 366-4352						No	No	No	Briana Miller	0021M,,,
No Company Match,,,,,,,,,Mobile Mini Inc		2123 Storage Rd	Chattanooga	TN	37421	423-353-9085		10 to 19	20,,,
No Company Match,,,,,,,,,Mocorp Inc		14280 Sunfish Lake Blvd Nw	Anoka	MN	55303	763-441-9978		20 to 49	10,,,
No Company Match,,,,,,,,,Modern Heating & Air Cond	FRC	2318 1st St Ne	Minneapolis	MN	55418	612-781-3358		50 to 99	40,,,
,,,,,,,,,Mohawk		447 Union Grove Rd SE	Calhoun	GA	30701	800/241-4580						Yes	No	No	Mason Ramsey	71,,,
,,,,,,,,,MOHAWK		2002 ANTIOCH RD	DALTON	GA	30721							Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Mohawk		106 John Bankson Drive	SUMMERVILLE	GA	30747	(706) 506-1725						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Mohawk		400 Clarence King Pkwy	CALHOUN	GA	30701	(706) 428-1388						Yes	No	No	Mason Ramsey	71,,,
,,,,,,,,,Mohawk - Antioch		2001 Antioch Road	DALTON	GA	30721	(706) 277-1100						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Mohawk - Space Dye		2100 S Hamilton Street	DALTON	GA	30720	(706) 272-1406						Yes	No	No	Scarlet Perez	475,,,
No Company Match,,,,,,,,,Mohawk Carpet Llc	GAM; EGAM	160 S Industrial Blvd	Calhoun	GA	30701	706-629-7721		1 to 4	2,,,
,,,,,,,,,MOHAWK HOME		1093 MARINE DR SE	CALHOUN	GA	30701	706-624-8575						No	No	No	Mason Ramsey	71,,,
,,,,,,,,,Mohawk Home		2001 Antioch Rd	Dalton	GA	30720	706-277-1100						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Mohawk Home		3090 Sugar Valley Road NW	Sugar Valley	GA	30746	(706) 629-7916						Yes	No	No	Mason Ramsey	71,,,
,,,,,,,,,Mohawk Ind 0204		1811 S Hamilton St.	Dalton	GA	30720	423-464-5335						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Mohawk Industries		508 E. Morris St	Dalton	GA	30721	706-278-8000				6211	Offices of Physicians	Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,MOHAWK INDUSTRIES - COATE		1149 Duvall Rd Bay 38	Chatsworth	GA	30705	706-422-2012						Yes	No	No	Scarlet Perez	475,,,
No Company Match,,,,,,,,,Mohawk Industries Inc		99 Highland Rd	Chatsworth	GA	30705	706-695-9605		10 to 19	10,,,
,,,,,,,,,Mohawk Industries Inc		207 Phelps Rd Se	Dalton	GA	30721	706-277-3791		250 to 499	100,,,
000+	3141	Textile Furnishings Mills	Yes	No	Yes	Scarlet Perez	475,,,,,,,,,Mohawk Industries Inc	FRC; CMAM	2001 Antioch Rd	Dalton	GA	30721	706-277-1100		1,,,
No Company Match,,,,,,,,,Mohawk Industries Inc		296 S Industrial Blvd	Calhoun	GA	30701	706-602-1721		20 to 49	40,,,
No Company Match,,,,,,,,,Mohawk Industries Inc		106 John Bankston Dr	Summerville	GA	30747	706-857-2849		10 to 19	20,,,
No Company Match,,,,,,,,,Mohawk,,,
,,,,,,,,,MOLIN CONCRETE PRODUCTS		6820 143rd Ave NW	Ramsey	MN	55303	651-786-7722						Yes	No	No	Peter Andrews	470,,,
,,,,,,,,,Mondi Bag		281 Hemphill Blvd	EASTMAN	GA	31023	(478) 374-7032						Yes	No	No	Justin Spivey	220,,,
,,,,,,,,,MONSANTO		1210 E BRIDGE ST	REDWOOD FALLS	MN	56283					4249	Miscellaneous Nondurable Goods Merchant Wholesalers	Yes	No	No	Jacob Carlson	0006K,,,
No Company Match,,,,,,,,,Monsanto Co		29668 Us Highway 71	Redwood Falls	MN	56283	507-644-2108		20 to 49	20,,,
,,,,,,,,,MONTGOMERY K-8 SCHOOL TRI-CITY UNITED PS ISD 2905	MAM	101 2nd St NE	Montgomery	MN	56069	5073648119						No	No	No	Isaac Hennen	754,,,
and Musical Instrument Retailers	Yes	Yes	No	Oscar Jessup	219,,,,,,,,,Morgan Thermal Ceramics Inc	FRC	2102 Old Savannah Rd # 167	Augusta	GA	30906	706-796-4200		500 to 999	100,,,
,,,,,,,,,Morgan Truck Body LLC		4120 US-411	Rydal	GA	30171	(770) 547-2680						Yes	No	No	Mason Ramsey	71,,,
,,,,,,,,,MORRIES CADILLAC SAAB	KAM	7400 WAYZATA BLVD	GOLDEN VALLEY	MN	55426					4411	Automobile Dealers	Yes	No	No	Ashley Douglas	470,,,
Equipment,,,,,,,,,Morrow Equipment Co Llc	FRC; KAM	2955 Hickory Grove Rd Nw	Acworth	GA	30101	770-529-1299		20 to 49	40,,,
Equipment,,,,,,,,,Motion Industries Inc		1400 47th St N	Fargo	ND	58102	701-234-9015		10 to 19	5,,,
,,,,,,,,,Motor Wheel International		2660 Sidney Street	CHATTANOOGA	TN	37408	(423) 634-1097						Yes	No	No	Banton Price	475,,,
,,,,,,,,,MRG TOOL & DIE		1100 CANNON CIR	FARIBAULT	MN	55021							Yes	No	No	Isaac Hennen	754,,,
,,,,,,,,,MSG Rebuild Center at Southwire		5152 Columbia Dr Bldg #1503	CARROLLTON	GA	30117	(770) 842-6905						Yes	No	No	Taylor Piatt	0037K,,,
No Company Match,,,,,,,,,MTL		4025 85TH AVE N	BROOKLYN PARK	MN	55443	763-533-4301				5416	Management,,,
,,,,,,,,,MTU DIESEL		1038 SAGE MILL PKWY	GRANITEVILLE	SC	29829	803-663-8831						Yes	No	Yes	Travis Riner	219,,,
,,,,,,,,,Mueller		2048 Industrial Blvd.	Kimball	TN	37419	4236979686						Yes	No	No	Banton Price	475,,,
,,,,,,,,,Mueller Cleveland Industrial		620 Industrial Drive SW	CLEVELAND	TN	37311	(423) 728-0901						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Muller Load Containment Sltns		1320 Leslie Dr	Douglasville	GA	30134	770-489-7510		50 to 99	100,,,
,,,,,,,,,NA-Ingersoll Rand		8671 Brooklet Denmark Rd	Brooklet	GA	30415	912-842-2092						Yes	No	No	Brandi Collins	220,,,
No Company Match,,,,,,,,,NA-Team Cooper Heat MQS		1398 Atomic Rd	Beech Island	SC	29842	706-860-0899				5413	Architectural,,,
No Company Match,,,,,,,,,Natural Resources Research Institute		5013 Miller Trunk Hwy	DULUTH	MN	55811	(218) 788-2694				6113	Colleges,,,
Supercenters,,,,,,,,,Naturchem		2367 Rockaway Industrial Blvd	Conyers	GA	30012	770-918-0211		20 to 49	40,,,
Supercenters,,,,,,,,,Nelson Wood Shims	FRC	500 Nw 3rd St	Cohasset	MN	55721	218-328-5511		20 to 49	40,,,
No Company Match,,,,,,,,,Nestle Purina Pet Care Co		111 W PLYMOUTH ST	JEFFERSON	WI	53549	715-792-2106		5 to 9	5,,,
,,,,,,,,,New French Bakery	FRC	2609 26th Ave S	Minneapolis	MN	55406	612-455-7502		100 to 249	100,,,
No Company Match,,,,,,,,,New French Cafe	FRC	828 Kasota Ave Se	Minneapolis	MN	55414	612-465-8116		5 to 9	2,,,
Legislative,,,,,,,,,New Hope Public Works Dept	MAM	5500 International Pkwy	Minneapolis	MN	55428	763-592-6777		20 to 49	40,,,
,,,,,,,,,NEW LINE TRANSPORT		3200 CLINTON CT	NORCROSS	GA	30071	770-242-6859						Yes	Yes	No	Joseph Paglia	258,,,
,,,,,,,,,NEWARK GROUP		1212 VEAL ST	CEDARTOWN	GA	30125							Yes	No	Yes	Mason Ramsey	71,,,
No Company Match,,,,,,,,,Newell Recycling	FRC	4460 Broadway	Macon	GA	31206	478-781-8118		10 to 19	10,,,
,,,,,,,,,NEWELL RECYCLING MAINT DE		3245 MARYLAND ST	EAST POINT	GA	30344	404-766-1621						Yes	No	No	Ryan Burns	0037K,,,
No Company Match,,,,,,,,,Newell Recycling Southeast	FRC	2800 Amwiler Rd	Atlanta	GA	30360	678-262-1239		20 to 49	40,,,
,,,,,,,,,Newly Weds Foods Inc	FRC	187 Industrial Ln Sw	Cleveland	TN	37311	423-559-0909		100 to 249	100,,,
No Company Match,,,,,,,,,Nexus Circular LLC		500 Waterfront Dr Sw	Atlanta	GA	30336	4046938389		50 to 99	20,,,
,,,,,,,,,Nibco Inc	FRC; KAM	1900 Old Union Point Rd	Greensboro	GA	30642	706-453-2372		100 to 249	100,,,
,,,,,,,,,Nippon Paint		1801 Southern Street	Chattanooga	TN	37406	423-661-4727						Yes	No	No	Banton Price	475,,,
,,,,,,,,,NISSAN OF ATHENS SUPPLIES		4735 ATLANTA HWY	BOGART	GA	30622					4411	Automobile Dealers	Yes	No	No	Brett Johns	258,,,
,,,,,,,,,NISSWA SANITATION		14099 HIGHWAY 210	BRAINERD	MN	56401	218-927-6435						Yes	No	No	Caroline Horvath	0032K,,,
,,,,,,,,,NITRO QUIMICA CORPORATION		2300 W POINT AVE	COLLEGE PARK	GA	30337	404-761-3134						Yes	No	No	Ryan Burns	0037K,,,
No Company Match,,,,,,,,,Nixon Power Svc		1440 Lakes Pkwy # 600	Lawrenceville	GA	30043	770-339-2972		10 to 19	20,,,
,,,,,,,,,Nolato Contour		660 Vandeberg St	Baldwin	WI	54002	715-684-4614		100 to 249	100,,,
,,,,,,,,,Nordson		1450 Lakeland Drive	Chippewa Falls	WI	54729	7157261201						No	No	No	Tyler Lee	0016K,,,
No Company Match,,,,,,,,,North Cobb Electrical Svc Inc		3230 Moon Station Rd NW Ste A	Kennesaw	GA	30144	770-427-1100		20 to 49	5,,,
,,,,,,,,,North Georgia Ready Mix		419 N Selvidge St	Dalton	GA	30722	706-278-8384						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,NORTH STAR DIESEL SERVICE		837 APOLLO RD	EAGAN	MN	55121	651-686-1060						Yes	No	Yes	Timothy Litwin	754,,,
,,,,,,,,,NORTH STAR SHEETS		7550 91ST ST. SOUTH	COTTAGE GROVE	MN	55016	651-888-8506						Yes	No	No	Timothy Litwin	754,,,
,,,,,,,,,NORTHERN AIR CORP	FRC	1001 LABORE RD	VADNAIS HEIGHTS	MN	55110	651-255-3555				2382	Building Equipment Contractors	Yes	No	No	Briana Miller	0021M,,,
No Company Match,,,,,,,,,Northern Dewatering		14405 Northdale Blvd	Rogers	MN	55374	763-428-2616		20 to 49	10,,,
,,,,,,,,,Northern Iron	FRC; CMAM	867 Forest St	St Paul	MN	55106	651-778-3300		50 to 99	100,,,
No Company Match,,,,,,,,,Northern Metal Fab Inc		500 Evergreen St	Baldwin	WI	54002	715-684-3535		50 to 99	40,,,
,,,,,,,,,NORTHERN METAL RECYCLING	KAM	13196 HANCOCK STREET SE	BECKER	MN	55308							Yes	No	No	Jacob Carlson	0032K,,,
